"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"deoA",0.461849754064351,7.93225959957771,2.27568644339041,0.143262268243825,0.992378856146764,0.992378856146764
"finO",0.311447505393547,5.54909446945537,1.7221461585434,0.198272894931361,0.992378856146764,0.992378856146764
"SL1344_P1_0022",0.627618622351982,5.65986885423755,1.70550260170681,0.202733036397068,0.992378856146764,0.992378856146764
"SL1344_P1_0034",-0.567861296212159,3.79985595652303,1.72678713120497,0.197684127584441,0.992378856146764,0.992378856146764
"SL1344_P1_0039",0.619817998033325,5.15378837324219,1.90407422071305,0.176985572378265,0.992378856146764,0.992378856146764
"samB",-0.369380559103314,6.07517293915432,2.03084658723983,0.163318124342523,0.992378856146764,0.992378856146764
"tlpA",-0.210472297952362,6.93900038860956,1.76343347557687,0.19310892751292,0.992378856146764,0.992378856146764
"SL1344_P1_0065",0.452526675696972,4.85969298280582,2.33805656920868,0.135567041877429,0.992378856146764,0.992378856146764
"SL1344_P1_0072",-0.211604845117377,8.86760450366988,2.25718470927725,0.142296007719767,0.992378856146764,0.992378856146764
"SL1344_P1_0078",-0.444511464000945,4.8085290430347,2.36767850570155,0.133195737272699,0.992378856146764,0.992378856146764
"pefC",0.60642415797912,7.41816238565938,2.11018544903572,0.159460970787142,0.992378856146764,0.992378856146764
"SL1344_P1_0102",-0.227453016596892,7.11100247062188,2.39200337257786,0.131284518255355,0.992378856146764,0.992378856146764
"SL1344_P2_0060",-0.349641448110323,6.58976952428448,1.79737632211726,0.189213180434338,0.992378856146764,0.992378856146764
"SL1344_P2_0068",0.84747635693797,3.62871442161356,2.22179692523955,0.145362840220296,0.992378856146764,0.992378856146764
"trcD",0.317232997865758,5.55632585569935,1.819928729543,0.186304314348495,0.992378856146764,0.992378856146764
"CsrC",-0.254598727109375,9.77289898464128,1.78128309635885,0.191329570280469,0.992378856146764,0.992378856146764
"FlgO",-0.688761085237443,4.24056636021436,1.83274757720782,0.186121351088671,0.992378856146764,0.992378856146764
"GcvB",-0.257997256729943,11.7693821075728,2.06427609590587,0.159993277460446,0.992378856146764,0.992378856146764
"MicL",0.787731333518682,3.55651174114053,2.30840026883317,0.13799053163356,0.992378856146764,0.992378856146764
"OmrB",-0.560760921164613,4.5389092361739,1.72444405019062,0.197981111385698,0.992378856146764,0.992378856146764
"OxyS",-0.726411356157579,11.0227536767339,2.32711006852918,0.142318234667376,0.992378856146764,0.992378856146764
"RprA",-0.496741120519576,4.2557767476484,2.20760871887238,0.146614160647894,0.992378856146764,0.992378856146764
